system,knowledge_level,threshold,n_runs,n_detected_before,n_detected_after,n_missed,n_false_alarm,n_no_event,detection_rate,false_alarm_rate,n_lead_defined,lead_median_slices,lead_p10_slices,lead_p90_slices,lead_mean_slices,git_sha,source_file,ablation_axis
dbn_hard_evidence,analytics,0.69,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.71,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.73,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.75,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.77,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.79,30,0,25,0,5,0,1.0,1.0,25,-1.0,-1.0,-1.0,-1.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.81,30,0,0,25,0,5,0.0,0.0,0,,,,,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.83,30,0,0,25,0,5,0.0,0.0,0,,,,,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.85,30,0,0,25,0,5,0.0,0.0,0,,,,,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.87,30,0,0,25,0,5,0.0,0.0,0,,,,,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
