arm,threshold,n_runs,n_detected_before,n_detected_after,n_missed,n_false_alarm,n_no_event,detection_rate,false_alarm_rate,n_lead_defined,lead_median_slices,lead_p10_slices,lead_p90_slices,lead_mean_slices,git_sha,source_file,ablation_axis
soft_uncalibrated,0.95,30,0,30,0,0,0,1.0,,30,-4.0,-45.0,0.0,-13.166666666666666,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.97,30,0,30,0,0,0,1.0,,30,-4.0,-46.0,-1.0,-13.633333333333333,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.99,30,0,30,0,0,0,1.0,,30,-5.0,-48.0,-1.0,-14.466666666666669,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_calibrated,0.05,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_calibrated,0.07,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_calibrated,0.09,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_calibrated,0.11,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_calibrated,0.13,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_calibrated,0.15,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_calibrated,0.17,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_calibrated,0.19,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_calibrated,0.21,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_calibrated,0.23,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_calibrated,0.25,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_calibrated,0.27,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_calibrated,0.29,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_calibrated,0.31,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_calibrated,0.33,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
