knowledge_level,batch,mean_reward,n_episodes,git_sha,source_file,ablation_axis
full_dbn,13,0.032442578125,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,14,0.0532539375,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,15,0.1100853281249999,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,16,0.115732890625,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,17,0.104300140625,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,18,0.1220640625,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,19,0.113591375,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,20,0.142317640625,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,21,0.093612,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,22,0.16634853125,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,23,0.189112078125,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,24,0.1787809375,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,25,0.1301553437499999,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,26,0.140646953125,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,27,0.1207155624999999,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,28,0.21158871875,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,29,0.148555234375,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,30,0.181081265625,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,31,0.1922775,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
